"country_or_area","year","unit","geothermal","hydro","nuclear_electricity","solar_electricity","tide_wave_and_ocean_electricity","wind_electricity","total","alpha.3"
"Albania",1998,"Kilowatt-hours, Million",0,4921,0,0,0,0,4921,"ALB"
"Albania",2003,"Kilowatt-hours, Million",0,5169,0,0,0,0,5169,"ALB"
"Albania",2000,"Kilowatt-hours, Million",0,4594,0,0,0,0,4594,"ALB"
"Albania",1999,"Kilowatt-hours, Million",0,5284,0,0,0,0,5284,"ALB"
"Albania",2004,"Kilowatt-hours, Million",0,5466,0,0,0,0,5466,"ALB"
"Albania",2014,"Kilowatt-hours, Million",0,4724.43,0,0,0,0,4724.43,"ALB"
"Albania",2006,"Kilowatt-hours, Million",0,5431,0,0,0,0,5431,"ALB"
"Albania",2008,"Kilowatt-hours, Million",0,3796.51,0,0,0,0,3796.51,"ALB"
"Algeria",2001,"Kilowatt-hours, Million",0,69,0,0,0,0,69,"DZA"
"Algeria",1994,"Kilowatt-hours, Million",0,166,0,0,0,0,166,"DZA"
"Algeria",2011,"Kilowatt-hours, Million",0,502,0,0,0,0,502,"DZA"
"Algeria",2002,"Kilowatt-hours, Million",0,57,0,0,0,0,57,"DZA"
"Algeria",2012,"Kilowatt-hours, Million",0,622,0,0,0,0,622,"DZA"
"Algeria",1998,"Kilowatt-hours, Million",0,100,0,0,0,0,100,"DZA"
"Algeria",1996,"Kilowatt-hours, Million",0,130,0,0,0,0,130,"DZA"
"Algeria",2013,"Kilowatt-hours, Million",0,330,0,0,0,0,330,"DZA"
"Algeria",1997,"Kilowatt-hours, Million",0,75,0,0,0,0,75,"DZA"
"Algeria",1995,"Kilowatt-hours, Million",0,193,0,0,0,0,193,"DZA"
"Algeria",1999,"Kilowatt-hours, Million",0,100,0,0,0,0,100,"DZA"
"Algeria",2009,"Kilowatt-hours, Million",0,306,0,0,0,0,306,"DZA"
"Algeria",2008,"Kilowatt-hours, Million",0,283,0,0,0,0,283,"DZA"
"Algeria",2003,"Kilowatt-hours, Million",0,265,0,0,0,0,265,"DZA"
"Algeria",2014,"Kilowatt-hours, Million",0,254,0,0,0,0,254,"DZA"
"Algeria",2005,"Kilowatt-hours, Million",0,555,0,0,0,0,555,"DZA"
"Algeria",2006,"Kilowatt-hours, Million",0,218,0,0,0,0,218,"DZA"
"Algeria",2010,"Kilowatt-hours, Million",0,174,0,0,0,0,174,"DZA"
"Algeria",2007,"Kilowatt-hours, Million",0,226,0,0,0,0,226,"DZA"
"Algeria",2004,"Kilowatt-hours, Million",0,251,0,0,0,0,251,"DZA"
"Algeria",2000,"Kilowatt-hours, Million",0,54,0,0,0,0,54,"DZA"
"American Samoa",2012,"Kilowatt-hours, Million",0,0,0,1.1,0,0,1.1,"ASM"
"American Samoa",2014,"Kilowatt-hours, Million",0,0,0,1.1,0,0,1.1,"ASM"
"American Samoa",2013,"Kilowatt-hours, Million",0,0,0,1.1,0,0,1.1,"ASM"
"Andorra",2002,"Kilowatt-hours, Million",0,80,0,0,0,0,80,"AND"
"Andorra",1998,"Kilowatt-hours, Million",0,90,0,0,0,0,90,"AND"
"Andorra",1994,"Kilowatt-hours, Million",0,120,0,0,0,0,120,"AND"
"Andorra",2009,"Kilowatt-hours, Million",0,62,0,0,0,0,62,"AND"
"Andorra",2013,"Kilowatt-hours, Million",0,101.8,0,0,0,0,101.8,"AND"
"Andorra",1995,"Kilowatt-hours, Million",0,124,0,0,0,0,124,"AND"
"Andorra",2014,"Kilowatt-hours, Million",0,113.4,0,0,0,0,113.4,"AND"
"Andorra",2005,"Kilowatt-hours, Million",0,84,0,0,0,0,84,"AND"
"Andorra",1999,"Kilowatt-hours, Million",0,80,0,0,0,0,80,"AND"
"Andorra",1996,"Kilowatt-hours, Million",0,110,0,0,0,0,110,"AND"
"Andorra",2001,"Kilowatt-hours, Million",0,80,0,0,0,0,80,"AND"
"Andorra",2011,"Kilowatt-hours, Million",0,78.9,0,0,0,0,78.9,"AND"
"Andorra",1997,"Kilowatt-hours, Million",0,100,0,0,0,0,100,"AND"
"Andorra",2010,"Kilowatt-hours, Million",0,100,0,0,0,0,100,"AND"
"Andorra",2008,"Kilowatt-hours, Million",0,63,0,0,0,0,63,"AND"
"Andorra",2007,"Kilowatt-hours, Million",0,57,0,0,0,0,57,"AND"
"Andorra",2006,"Kilowatt-hours, Million",0,70,0,0,0,0,70,"AND"
"Andorra",2012,"Kilowatt-hours, Million",0,76.2,0,0,0,0,76.2,"AND"
"Andorra",2000,"Kilowatt-hours, Million",0,80,0,0,0,0,80,"AND"
"Andorra",2004,"Kilowatt-hours, Million",0,93,0,0,0,0,93,"AND"
"Andorra",2003,"Kilowatt-hours, Million",0,80,0,0,0,0,80,"AND"
"Angola",1998,"Kilowatt-hours, Million",0,1060,0,0,0,0,1060,"AGO"
"Angola",1996,"Kilowatt-hours, Million",0,925,0,0,0,0,925,"AGO"
"Angola",1997,"Kilowatt-hours, Million",0,875,0,0,0,0,875,"AGO"
"Angola",2002,"Kilowatt-hours, Million",0,1143,0,0,0,0,1143,"AGO"
"Angola",1994,"Kilowatt-hours, Million",0,895,0,0,0,0,895,"AGO"
"Angola",2012,"Kilowatt-hours, Million",0,3772,0,0,0,0,3772,"AGO"
"Angola",2003,"Kilowatt-hours, Million",0,1241,0,0,0,0,1241,"AGO"
"Angola",2011,"Kilowatt-hours, Million",0,4007,0,0,0,0,4007,"AGO"
"Angola",1999,"Kilowatt-hours, Million",0,894,0,0,0,0,894,"AGO"
"Angola",2007,"Kilowatt-hours, Million",0,2497,0,0,0,0,2497,"AGO"
"Angola",1995,"Kilowatt-hours, Million",0,900,0,0,0,0,900,"AGO"
"Angola",2014,"Kilowatt-hours, Million",0,5041,0,0,0,0,5041,"AGO"
"Angola",2008,"Kilowatt-hours, Million",0,3134,0,0,0,0,3134,"AGO"
"Angola",2010,"Kilowatt-hours, Million",0,3703,0,0,0,0,3703,"AGO"
"Angola",2006,"Kilowatt-hours, Million",0,2665,0,0,0,0,2665,"AGO"
"Angola",2009,"Kilowatt-hours, Million",0,3094,0,0,0,0,3094,"AGO"
"Angola",2013,"Kilowatt-hours, Million",0,4767,0,0,0,0,4767,"AGO"
"Angola",2004,"Kilowatt-hours, Million",0,1750,0,0,0,0,1750,"AGO"
"Angola",2005,"Kilowatt-hours, Million",0,2219,0,0,0,0,2219,"AGO"
"Angola",2000,"Kilowatt-hours, Million",0,912,0,0,0,0,912,"AGO"
"Angola",2001,"Kilowatt-hours, Million",0,1017,0,0,0,0,1017,"AGO"
"Argentina",2014,"Kilowatt-hours, Million",0,41348,5756,16,0,730,47850,"ARG"
"Argentina",2002,"Kilowatt-hours, Million",0,35888,5821,0,0,73,41782,"ARG"
"Argentina",2008,"Kilowatt-hours, Million",0,30740,7330,0,0,42,38112,"ARG"
"Argentina",2006,"Kilowatt-hours, Million",0,38157,7691,0,0,70,45918,"ARG"
"Argentina",2010,"Kilowatt-hours, Million",0,33918,7171,0.09,0,25,41114.09,"ARG"
"Argentina",1998,"Kilowatt-hours, Million",0,26592,7453,0,0,33,34078,"ARG"
"Argentina",1994,"Kilowatt-hours, Million",0,27667,8235,0,0,0,35902,"ARG"
"Argentina",2011,"Kilowatt-hours, Million",0,31901,6371,2,0,26,38300,"ARG"
"Argentina",1995,"Kilowatt-hours, Million",0,26986,7066,0,0,0,34052,"ARG"
"Argentina",2013,"Kilowatt-hours, Million",0,33422,6207,15,0,461,40105,"ARG"
"Argentina",1999,"Kilowatt-hours, Million",0,21669,7106,0,0,35,28810,"ARG"
"Argentina",2003,"Kilowatt-hours, Million",0,33841,7566,0,0,78,41485,"ARG"
"Argentina",1997,"Kilowatt-hours, Million",0,28181,7961,0,0,15,36157,"ARG"
"Argentina",2000,"Kilowatt-hours, Million",0,28841,6177,0,0,35,35053,"ARG"
"Argentina",1996,"Kilowatt-hours, Million",0,22985,7459,0,0,10,30454,"ARG"
"Argentina",2007,"Kilowatt-hours, Million",0,30707,7217,0,0,61,37985,"ARG"
"Argentina",2009,"Kilowatt-hours, Million",0,34295,8161,0.08,0,36,42492.08,"ARG"
"Argentina",2001,"Kilowatt-hours, Million",0,37046,7059,0,0,49,44154,"ARG"
"Argentina",2004,"Kilowatt-hours, Million",0,30525,7869,0,0,72,38466,"ARG"
"Argentina",2012,"Kilowatt-hours, Million",0,29716,6395,8,0,369,36488,"ARG"
"Argentina",2005,"Kilowatt-hours, Million",0,34263,6873,0,0,75,41211,"ARG"
"Armenia",2005,"Kilowatt-hours, Million",0,1773,2716,0,0,0,4489,"ARM"
"Armenia",2014,"Kilowatt-hours, Million",0,1992,2465,0,0,4,4461,"ARM"
"Armenia",1998,"Kilowatt-hours, Million",0,1537,1589,0,0,0,3126,"ARM"
"Armenia",1995,"Kilowatt-hours, Million",0,1919,304,0,0,0,2223,"ARM"
"Armenia",1994,"Kilowatt-hours, Million",0,3514,0,0,0,0,3514,"ARM"
"Armenia",2008,"Kilowatt-hours, Million",0,1797,2461,0,0,2,4260,"ARM"
"Armenia",2000,"Kilowatt-hours, Million",0,1261,2005,0,0,0,3266,"ARM"
"Armenia",1996,"Kilowatt-hours, Million",0,1573,2324,0,0,0,3897,"ARM"
"Armenia",1999,"Kilowatt-hours, Million",0,1200,2078,0,0,0,3278,"ARM"
"Armenia",1997,"Kilowatt-hours, Million",0,1390,1600,0,0,0,2990,"ARM"
"Armenia",2006,"Kilowatt-hours, Million",0,1825,2640,0,0,0,4465,"ARM"
"Armenia",2010,"Kilowatt-hours, Million",0,2556,2490,0,0,7,5053,"ARM"
"Armenia",2007,"Kilowatt-hours, Million",0,1856,2553,0,0,0,4409,"ARM"
"Armenia",2009,"Kilowatt-hours, Million",0,2020,2494,0,0,4,4518,"ARM"
"Armenia",2011,"Kilowatt-hours, Million",0,2489,2548,0,0,6,5043,"ARM"
"Armenia",2002,"Kilowatt-hours, Million",0,1658,2282,0,0,0,3940,"ARM"
"Armenia",2003,"Kilowatt-hours, Million",0,1982,1998,0,0,0,3980,"ARM"
"Armenia",2004,"Kilowatt-hours, Million",0,2014,2403,0,0,0,4417,"ARM"
"Armenia",2012,"Kilowatt-hours, Million",0,2311,2322,0,0,4,4637,"ARM"
"Armenia",2001,"Kilowatt-hours, Million",0,968,1987,0,0,0,2955,"ARM"
"Armenia",2013,"Kilowatt-hours, Million",0,2173,2360,0,0,4,4537,"ARM"
"Aruba",2013,"Kilowatt-hours, Million",0,0,0,0,0,138.4,138.4,"ABW"
"Aruba",2011,"Kilowatt-hours, Million",0,0,0,0,0,112.6,112.6,"ABW"
"Aruba",2010,"Kilowatt-hours, Million",0,0,0,0,0,106.5,106.5,"ABW"
"Aruba",2012,"Kilowatt-hours, Million",0,0,0,0,0,136.4,136.4,"ABW"
"Aruba",2014,"Kilowatt-hours, Million",0,0,0,0,0,138.4,138.4,"ABW"
"Australia",2005,"Kilowatt-hours, Million",0,15612,0,79,0,885,16576,"AUS"
"Australia",2006,"Kilowatt-hours, Million",1,16029,0,91,0,1713,17834,"AUS"
"Australia",2007,"Kilowatt-hours, Million",1,14517,0,109,0,2611,17238,"AUS"
"Australia",2014,"Kilowatt-hours, Million",1,18421,0,4858,0,10252,33532,"AUS"
"Australia",1994,"Kilowatt-hours, Million",0,16649,0,13,0,4,16666,"AUS"
"Australia",2008,"Kilowatt-hours, Million",1,12057,0,127,0,3093,15278,"AUS"
"Australia",2011,"Kilowatt-hours, Million",1,16807,0,1530,0,6085,24423,"AUS"
"Australia",2012,"Kilowatt-hours, Million",1,14083,0,2559,0,6970,23613,"AUS"
"Australia",1997,"Kilowatt-hours, Million",0,16852,0,23,0,7,16882,"AUS"
"Australia",2010,"Kilowatt-hours, Million",1,13549,0,426,0,5052,19028,"AUS"
"Australia",1998,"Kilowatt-hours, Million",0,15733,0,28,0,8,15769,"AUS"
"Australia",2004,"Kilowatt-hours, Million",0,16331,0,69,0,705,17105,"AUS"
"Australia",1995,"Kilowatt-hours, Million",0,16239,0,16,0,7,16262,"AUS"
"Australia",2002,"Kilowatt-hours, Million",0,16054,0,50,0,364,16468,"AUS"
"Australia",1996,"Kilowatt-hours, Million",0,15731,0,19,0,7,15757,"AUS"
"Australia",1999,"Kilowatt-hours, Million",0,16563,0,34,0,28,16625,"AUS"
"Australia",2001,"Kilowatt-hours, Million",0,16933,0,44,0,210,17187,"AUS"
"Australia",2013,"Kilowatt-hours, Million",1,18270,0,3826,0,7960,30057,"AUS"
"Australia",2009,"Kilowatt-hours, Million",1,11869,0,160,0,3824,15854,"AUS"
"Australia",2003,"Kilowatt-hours, Million",0,16490,0,59,0,703,17252,"AUS"
"Australia",2000,"Kilowatt-hours, Million",0,16720,0,38,0,58,16816,"AUS"
"Austria",1994,"Kilowatt-hours, Million",0,36729,0,1,0,0,36730,"AUT"
"Austria",2006,"Kilowatt-hours, Million",3,38238,0,22,0,1752,40015,"AUT"
"Austria",2010,"Kilowatt-hours, Million",1,41558,0,89,0,2064,43712,"AUT"
"Austria",1998,"Kilowatt-hours, Million",0,38254,0,2,0,45,38301,"AUT"
"Austria",2008,"Kilowatt-hours, Million",2,40690,0,30,0,2011,42733,"AUT"
"Austria",1997,"Kilowatt-hours, Million",0,37124,0,2,0,20,37146,"AUT"
"Austria",2004,"Kilowatt-hours, Million",2,38966,0,18,0,934,39920,"AUT"
"Austria",2013,"Kilowatt-hours, Million",0,45777,0,582,0,3152,49511,"AUT"
"Austria",2003,"Kilowatt-hours, Million",3,35292,0,15,0,372,35682,"AUT"
"Austria",2012,"Kilowatt-hours, Million",1,47705,0,337,0,2462,50505,"AUT"
"Austria",2011,"Kilowatt-hours, Million",1,37782,0,174,0,1936,39893,"AUT"
"Austria",1999,"Kilowatt-hours, Million",0,41727,0,2,0,51,41780,"AUT"
"Austria",2005,"Kilowatt-hours, Million",2,39020,0,21,0,1331,40374,"AUT"
"Austria",2014,"Kilowatt-hours, Million",0,44828,0,785,0,3846,49459,"AUT"
"Austria",2001,"Kilowatt-hours, Million",0,41837,0,5,0,105,41947,"AUT"
"Austria",2000,"Kilowatt-hours, Million",0,43219,0,3,0,67,43289,"AUT"
"Austria",2009,"Kilowatt-hours, Million",2,43669,0,49,0,1954,45674,"AUT"
"Austria",2007,"Kilowatt-hours, Million",2,39248,0,24,0,2037,41311,"AUT"
"Austria",1996,"Kilowatt-hours, Million",0,35522,0,1,0,5,35528,"AUT"
"Austria",2002,"Kilowatt-hours, Million",3,42020,0,9,0,140,42172,"AUT"
"Austria",1995,"Kilowatt-hours, Million",0,38114,0,1,0,1,38116,"AUT"
"Azerbaijan",2007,"Kilowatt-hours, Million",0,2364,0,0,0,0,2364,"AZE"
"Azerbaijan",1999,"Kilowatt-hours, Million",0,1506,0,0,0,0,1506,"AZE"
"Azerbaijan",2002,"Kilowatt-hours, Million",0,2020,0,0,0,0,2020,"AZE"
"Azerbaijan",2004,"Kilowatt-hours, Million",0,2755,0,0,0,0,2755,"AZE"
"Azerbaijan",2010,"Kilowatt-hours, Million",0,3446,0,0,0,1,3447,"AZE"
"Azerbaijan",1996,"Kilowatt-hours, Million",0,1538,0,0,0,0,1538,"AZE"
"Azerbaijan",2009,"Kilowatt-hours, Million",0,2308,0,0,0,2,2310,"AZE"
"Azerbaijan",2001,"Kilowatt-hours, Million",0,1301,0,0,0,0,1301,"AZE"
"Azerbaijan",1995,"Kilowatt-hours, Million",0,1556,0,0,0,0,1556,"AZE"
"Azerbaijan",1998,"Kilowatt-hours, Million",0,1951,0,0,0,0,1951,"AZE"
"Azerbaijan",2008,"Kilowatt-hours, Million",0,2232,0,0,0,0,2232,"AZE"
"Azerbaijan",2006,"Kilowatt-hours, Million",0,2518,0,0,0,0,2518,"AZE"
"Azerbaijan",2000,"Kilowatt-hours, Million",0,1534,0,0,0,0,1534,"AZE"
"Azerbaijan",1994,"Kilowatt-hours, Million",0,1829,0,0,0,0,1829,"AZE"
"Azerbaijan",2013,"Kilowatt-hours, Million",0,1489,0,1,0,1,1491,"AZE"
"Azerbaijan",2003,"Kilowatt-hours, Million",0,2469,0,0,0,0,2469,"AZE"
"Azerbaijan",1997,"Kilowatt-hours, Million",0,1712,0,0,0,0,1712,"AZE"
"Azerbaijan",2012,"Kilowatt-hours, Million",0,1821,0,0,0,0,1821,"AZE"
"Azerbaijan",2005,"Kilowatt-hours, Million",0,3009,0,0,0,0,3009,"AZE"
"Azerbaijan",2014,"Kilowatt-hours, Million",0,1300,0,3,0,2,1305,"AZE"
"Azerbaijan",2011,"Kilowatt-hours, Million",0,2676,0,0,0,0,2676,"AZE"
"Bangladesh",1994,"Kilowatt-hours, Million",0,846,0,0,0,0,846,"BGD"
"Bangladesh",2010,"Kilowatt-hours, Million",0,729,0,0,0,0,729,"BGD"
"Bangladesh",2000,"Kilowatt-hours, Million",0,946,0,0,0,0,946,"BGD"
"Bangladesh",2009,"Kilowatt-hours, Million",0,417,0,0,0,0,417,"BGD"
"Bangladesh",2011,"Kilowatt-hours, Million",0,872,0,0,0,0,872,"BGD"
"Bangladesh",1995,"Kilowatt-hours, Million",0,372,0,0,0,0,372,"BGD"
"Bangladesh",2012,"Kilowatt-hours, Million",0,777,0,0,0,0,777,"BGD"
"Bangladesh",2005,"Kilowatt-hours, Million",0,1293,0,0,0,0,1293,"BGD"
"Bangladesh",2001,"Kilowatt-hours, Million",0,993,0,0,0,0,993,"BGD"
"Bangladesh",1999,"Kilowatt-hours, Million",0,833,0,0,0,0,833,"BGD"
"Bangladesh",1996,"Kilowatt-hours, Million",0,739,0,0,0,0,739,"BGD"
"Bangladesh",2002,"Kilowatt-hours, Million",0,1066,0,0,0,0,1066,"BGD"
"Bangladesh",2008,"Kilowatt-hours, Million",0,950,0,0,0,0,950,"BGD"
"Bangladesh",2006,"Kilowatt-hours, Million",0,1389,0,0,0,0,1389,"BGD"
"Bangladesh",2013,"Kilowatt-hours, Million",0,894,0,145,0,4,1043,"BGD"
"Bangladesh",2014,"Kilowatt-hours, Million",0,588,0,145,0,4,737,"BGD"
"Bangladesh",1998,"Kilowatt-hours, Million",0,865,0,0,0,0,865,"BGD"
"Bangladesh",1997,"Kilowatt-hours, Million",0,719,0,0,0,0,719,"BGD"
"Bangladesh",2007,"Kilowatt-hours, Million",0,749,0,0,0,0,749,"BGD"
"Bangladesh",2003,"Kilowatt-hours, Million",0,1126,0,0,0,0,1126,"BGD"
"Bangladesh",2004,"Kilowatt-hours, Million",0,1226,0,0,0,0,1226,"BGD"
"Belarus",1996,"Kilowatt-hours, Million",0,16,0,0,0,0,16,"BLR"
"Belarus",2010,"Kilowatt-hours, Million",0,45,0,0,0,1,46,"BLR"
"Belarus",1994,"Kilowatt-hours, Million",0,19,0,0,0,0,19,"BLR"
"Belarus",2000,"Kilowatt-hours, Million",0,20,0,0,0,0,20,"BLR"
"Belarus",2005,"Kilowatt-hours, Million",0,36,0,0,0,1,37,"BLR"
"Belarus",2009,"Kilowatt-hours, Million",0,44,0,0,0,1,45,"BLR"
"Belarus",2008,"Kilowatt-hours, Million",0,39,0,0,0,1,40,"BLR"
"Belarus",2002,"Kilowatt-hours, Million",0,28,0,0,0,0,28,"BLR"
"Belarus",2003,"Kilowatt-hours, Million",0,28,0,0,0,0,28,"BLR"
"Belarus",2014,"Kilowatt-hours, Million",0,121,0,1,0,11,133,"BLR"
"Belarus",1999,"Kilowatt-hours, Million",0,19,0,0,0,0,19,"BLR"
"Belarus",2013,"Kilowatt-hours, Million",0,138,0,0,0,8,146,"BLR"
"Belarus",2011,"Kilowatt-hours, Million",0,42,0,0,0,1,43,"BLR"
"Belarus",1998,"Kilowatt-hours, Million",0,28,0,0,0,0,28,"BLR"
"Belarus",2001,"Kilowatt-hours, Million",0,30,0,0,0,0,30,"BLR"
"Belarus",2004,"Kilowatt-hours, Million",0,33,0,0,0,1,34,"BLR"
"Belarus",2012,"Kilowatt-hours, Million",0,70,0,0,0,6,76,"BLR"
"Belarus",2007,"Kilowatt-hours, Million",0,35,0,0,0,1,36,"BLR"
"Belarus",1997,"Kilowatt-hours, Million",0,21,0,0,0,0,21,"BLR"
"Belarus",2006,"Kilowatt-hours, Million",0,35,0,0,0,1,36,"BLR"
"Belarus",1995,"Kilowatt-hours, Million",0,20,0,0,0,0,20,"BLR"
"Belgium",2000,"Kilowatt-hours, Million",0,1699,48157,0,0,16,49872,"BEL"
"Belgium",2011,"Kilowatt-hours, Million",0,1423,48234,1169,0,2312,53138,"BEL"
"Belgium",2009,"Kilowatt-hours, Million",0,1757,47222,166,0,996,50141,"BEL"
"Belgium",2001,"Kilowatt-hours, Million",0,1644,46349,0,0,37,48030,"BEL"
"Belgium",1994,"Kilowatt-hours, Million",0,1184,40624,0,0,9,41817,"BEL"
"Belgium",2007,"Kilowatt-hours, Million",0,1683,48227,6,0,491,50407,"BEL"
"Belgium",1996,"Kilowatt-hours, Million",0,1200,43336,0,0,8,44544,"BEL"
"Belgium",2014,"Kilowatt-hours, Million",0,1507,33703,2883,0,4614,42707,"BEL"
"Belgium",2013,"Kilowatt-hours, Million",0,1723,42644,2644,0,3687,50698,"BEL"
"Belgium",1995,"Kilowatt-hours, Million",0,1230,41356,0,0,9,42595,"BEL"
"Belgium",2008,"Kilowatt-hours, Million",0,1757,45568,42,0,637,48004,"BEL"
"Belgium",1998,"Kilowatt-hours, Million",0,1497,46165,0,0,11,47673,"BEL"
"Belgium",2004,"Kilowatt-hours, Million",0,1607,47312,1,0,142,49062,"BEL"
"Belgium",2012,"Kilowatt-hours, Million",0,1659,40295,2148,0,2751,46853,"BEL"
"Belgium",2003,"Kilowatt-hours, Million",0,1316,47379,0,0,88,48783,"BEL"
"Belgium",1997,"Kilowatt-hours, Million",0,1277,47408,0,0,8,48693,"BEL"
"Belgium",2005,"Kilowatt-hours, Million",0,1604,47595,1,0,227,49427,"BEL"
"Belgium",2010,"Kilowatt-hours, Million",0,1668,47944,560,0,1292,51464,"BEL"
"Belgium",1999,"Kilowatt-hours, Million",0,1489,49017,0,0,13,50519,"BEL"
"Belgium",2006,"Kilowatt-hours, Million",0,1628,46645,2,0,366,48641,"BEL"
"Belgium",2002,"Kilowatt-hours, Million",0,1490,47360,0,0,57,48907,"BEL"
"Belize",1999,"Kilowatt-hours, Million",0,76,0,0,0,0,76,"BLZ"
"Belize",2014,"Kilowatt-hours, Million",0,204.881389,0,0,0,0,204.881389,"BLZ"
"Belize",2005,"Kilowatt-hours, Million",0,68.957,0,0,0,0,68.957,"BLZ"
"Belize",2012,"Kilowatt-hours, Million",0,208.460556,0,0,0,0,208.460556,"BLZ"
"Belize",2003,"Kilowatt-hours, Million",0,68,0,0,0,0,68,"BLZ"
"Belize",2007,"Kilowatt-hours, Million",0,179.177,0,0,0,0,179.177,"BLZ"
"Belize",2013,"Kilowatt-hours, Million",0,207.07,0,0,0,0,207.07,"BLZ"
"Belize",1998,"Kilowatt-hours, Million",0,66,0,0,0,0,66,"BLZ"
"Belize",2010,"Kilowatt-hours, Million",0,262.985,0,0,0,0,262.985,"BLZ"
"Belize",2002,"Kilowatt-hours, Million",0,94,0,0,0,0,94,"BLZ"
"Belize",2009,"Kilowatt-hours, Million",0,187.591389,0,0,0,0,187.591389,"BLZ"
"Belize",2000,"Kilowatt-hours, Million",0,96,0,0,0,0,96,"BLZ"
"Belize",1996,"Kilowatt-hours, Million",0,61,0,0,0,0,61,"BLZ"
"Belize",2006,"Kilowatt-hours, Million",0,179.5,0,0,0,0,179.5,"BLZ"
"Belize",2008,"Kilowatt-hours, Million",0,206.545,0,0,0,0,206.545,"BLZ"
"Belize",2001,"Kilowatt-hours, Million",0,96,0,0,0,0,96,"BLZ"
"Belize",2004,"Kilowatt-hours, Million",0,63.85,0,0,0,0,63.85,"BLZ"
"Belize",1995,"Kilowatt-hours, Million",0,40,0,0,0,0,40,"BLZ"
"Belize",2011,"Kilowatt-hours, Million",0,244.446111,0,0,0,0,244.446111,"BLZ"
"Belize",1997,"Kilowatt-hours, Million",0,69,0,0,0,0,69,"BLZ"
"Benin",1998,"Kilowatt-hours, Million",0,2,0,0,0,0,2,"BEN"
"Benin",2004,"Kilowatt-hours, Million",0,1,0,0,0,0,1,"BEN"
"Benin",1997,"Kilowatt-hours, Million",0,0,0,0,0,0,0,"BEN"
"Benin",2002,"Kilowatt-hours, Million",0,2,0,0,0,0,2,"BEN"
"Benin",2005,"Kilowatt-hours, Million",0,1,0,0,0,0,1,"BEN"
"Benin",1996,"Kilowatt-hours, Million",0,0,0,0,0,0,0,"BEN"
"Benin",1999,"Kilowatt-hours, Million",0,2,0,0,0,0,2,"BEN"
